 17:55; Имя; Александр
 17:56; Фамилия; Буйнов
 17:56; Номер телефона; 11223344
 17:56; Описание; Домашний
 17:56; Имя; Александра
 17:56; Фамилия; Буйнова
 17:56; Номер телефона; 22334455
 17:57; Описание; Мобильный
 17:57; Имя; Евгений
 17:57; Фамилия; Северцев
 17:57; Номер телефона; 3344556699
 17:57; Описание; Рабочий
 17:58; Имя; Алексей
 17:58; Фамилия; Пивоваров
 17:58; Номер телефона; 5544332211
 17:58; Описание; Домашний
 17:59; Имя; Сергей
 17:59; Фамилия; Антошин
 17:59; Номер телефона; 446633258
 17:59; Описание; Мобильный
 17:59; Имя; Елена
 18:00; Фамилия; Башмакова
 18:00; Номер телефона; 3355669785
 18:00; Описание; Рабочий
